,city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
120,Natal,2408102.0,2020-03-12,11,884122.0,False,False,1,0.11310999999999999,2020-03-12,0.0,0,1,city,RN,1,0
157,Natal,2408102.0,2020-03-13,11,884122.0,False,False,1,0.11310999999999999,2020-03-13,0.0,0,2,city,RN,0,0
200,Natal,2408102.0,2020-03-14,11,884122.0,False,True,1,0.11310999999999999,2020-03-13,0.0,0,3,city,RN,0,0
248,Natal,2408102.0,2020-03-15,12,884122.0,False,True,1,0.11310999999999999,2020-03-13,0.0,0,4,city,RN,0,0
302,Natal,2408102.0,2020-03-16,12,884122.0,False,False,1,0.11310999999999999,2020-03-16,0.0,0,5,city,RN,0,0
372,Natal,2408102.0,2020-03-17,12,884122.0,False,True,1,0.11310999999999999,2020-03-16,0.0,0,6,city,RN,0,0
452,Natal,2408102.0,2020-03-18,12,884122.0,False,False,1,0.11310999999999999,2020-03-18,0.0,0,7,city,RN,0,0
556,Natal,2408102.0,2020-03-19,12,884122.0,False,True,1,0.11310999999999999,2020-03-18,0.0,0,8,city,RN,0,0
683,Natal,2408102.0,2020-03-20,12,884122.0,False,False,5,0.56553,2020-03-20,0.0,0,9,city,RN,4,0
684,Parnamirim,2403251.0,2020-03-20,12,261469.0,False,False,1,0.38245,2020-03-20,0.0,0,1,city,RN,1,0
834,Mossoró,2408003.0,2020-03-21,12,297378.0,False,False,1,0.33626999999999996,2020-03-21,0.0,0,1,city,RN,1,0
835,Natal,2408102.0,2020-03-21,12,884122.0,False,False,6,0.6786399999999999,2020-03-21,0.0,0,10,city,RN,1,0
836,Parnamirim,2403251.0,2020-03-21,12,261469.0,False,False,2,0.7649100000000001,2020-03-21,0.0,0,2,city,RN,1,0
1010,Mossoró,2408003.0,2020-03-22,13,297378.0,False,False,1,0.33626999999999996,2020-03-22,0.0,0,2,city,RN,0,0
1011,Natal,2408102.0,2020-03-22,13,884122.0,False,False,9,1.01796,2020-03-22,0.0,0,11,city,RN,3,0
1012,Parnamirim,2403251.0,2020-03-22,13,261469.0,False,False,3,1.14736,2020-03-22,0.0,0,3,city,RN,1,0
1209,Mossoró,2408003.0,2020-03-23,13,297378.0,False,True,1,0.33626999999999996,2020-03-22,0.0,0,3,city,RN,0,0
1210,Natal,2408102.0,2020-03-23,13,884122.0,False,True,9,1.01796,2020-03-22,0.0,0,12,city,RN,0,0
1211,Parnamirim,2403251.0,2020-03-23,13,261469.0,False,True,3,1.14736,2020-03-22,0.0,0,4,city,RN,0,0
1429,Mossoró,2408003.0,2020-03-24,13,297378.0,False,False,1,0.33626999999999996,2020-03-24,0.0,0,4,city,RN,0,0
1430,Natal,2408102.0,2020-03-24,13,884122.0,False,False,9,1.01796,2020-03-24,0.0,0,13,city,RN,0,0
1431,Parnamirim,2403251.0,2020-03-24,13,261469.0,False,False,4,1.5298200000000002,2020-03-24,0.0,0,5,city,RN,1,0
1667,Mossoró,2408003.0,2020-03-25,13,297378.0,False,False,1,0.33626999999999996,2020-03-25,0.0,0,5,city,RN,0,0
1668,Natal,2408102.0,2020-03-25,13,884122.0,False,False,9,1.01796,2020-03-25,0.0,0,14,city,RN,0,0
1669,Parnamirim,2403251.0,2020-03-25,13,261469.0,False,False,4,1.5298200000000002,2020-03-25,0.0,0,6,city,RN,0,0
1936,Mossoró,2408003.0,2020-03-26,13,297378.0,False,False,2,0.6725399999999999,2020-03-26,0.0,0,6,city,RN,1,0
1937,Natal,2408102.0,2020-03-26,13,884122.0,False,False,13,1.4703899999999999,2020-03-26,0.0,0,15,city,RN,4,0
1938,Parnamirim,2403251.0,2020-03-26,13,261469.0,False,False,4,1.5298200000000002,2020-03-26,0.0,0,7,city,RN,0,0
2240,Mossoró,2408003.0,2020-03-27,13,297378.0,False,False,5,1.6813599999999997,2020-03-27,0.0,0,7,city,RN,3,0
2241,Natal,2408102.0,2020-03-27,13,884122.0,False,False,19,2.14902,2020-03-27,0.0,0,16,city,RN,6,0
2242,Parnamirim,2403251.0,2020-03-27,13,261469.0,False,False,4,1.5298200000000002,2020-03-27,0.0,0,8,city,RN,0,0
2566,Açu,2400208.0,2020-03-28,13,58017.0,False,False,1,1.72363,2020-03-28,0.0,0,1,city,RN,1,0
2567,Caicó,2402006.0,2020-03-28,13,67952.0,False,False,1,1.47163,2020-03-28,0.0,0,1,city,RN,1,0
2569,Macaíba,2407104.0,2020-03-28,13,80792.0,False,False,1,1.23775,2020-03-28,0.0,0,1,city,RN,1,0
2570,Monte Alegre,2407807.0,2020-03-28,13,22451.0,False,False,1,4.45414,2020-03-28,0.0,0,1,city,RN,1,0
2571,Mossoró,2408003.0,2020-03-28,13,297378.0,False,False,16,5.38036,2020-03-28,0.0625,1,8,city,RN,11,1
2572,Natal,2408102.0,2020-03-28,13,884122.0,False,False,34,3.84562,2020-03-28,0.0,0,17,city,RN,15,0
2573,Parnamirim,2403251.0,2020-03-28,13,261469.0,False,False,9,3.4420900000000003,2020-03-28,0.0,0,9,city,RN,5,0
2574,Passa e Fica,2409100.0,2020-03-28,13,13277.0,False,False,1,7.53182,2020-03-28,0.0,0,1,city,RN,1,0
2575,São Gonçalo do Amarante,2412005.0,2020-03-28,13,102400.0,False,False,1,0.97656,2020-03-28,0.0,0,1,city,RN,1,0
2576,São José de Mipibu,2412203.0,2020-03-28,13,43899.0,False,False,1,2.2779599999999998,2020-03-28,0.0,0,1,city,RN,1,0
2577,Tibau,2411056.0,2020-03-28,13,4106.0,False,False,1,24.3546,2020-03-28,0.0,0,1,city,RN,1,0
2931,Açu,2400208.0,2020-03-29,14,58017.0,False,True,1,1.72363,2020-03-28,0.0,0,2,city,RN,0,0
2932,Caicó,2402006.0,2020-03-29,14,67952.0,False,True,1,1.47163,2020-03-28,0.0,0,2,city,RN,0,0
2934,Macaíba,2407104.0,2020-03-29,14,80792.0,False,True,1,1.23775,2020-03-28,0.0,0,2,city,RN,0,0
2935,Monte Alegre,2407807.0,2020-03-29,14,22451.0,False,True,1,4.45414,2020-03-28,0.0,0,2,city,RN,0,0
2936,Mossoró,2408003.0,2020-03-29,14,297378.0,False,True,16,5.38036,2020-03-28,0.0625,1,9,city,RN,0,0
2937,Natal,2408102.0,2020-03-29,14,884122.0,False,True,34,3.84562,2020-03-28,0.0,0,18,city,RN,0,0
2938,Parnamirim,2403251.0,2020-03-29,14,261469.0,False,True,9,3.4420900000000003,2020-03-28,0.0,0,10,city,RN,0,0
2939,Passa e Fica,2409100.0,2020-03-29,14,13277.0,False,True,1,7.53182,2020-03-28,0.0,0,2,city,RN,0,0
2940,São Gonçalo do Amarante,2412005.0,2020-03-29,14,102400.0,False,True,1,0.97656,2020-03-28,0.0,0,2,city,RN,0,0
2941,São José de Mipibu,2412203.0,2020-03-29,14,43899.0,False,True,1,2.2779599999999998,2020-03-28,0.0,0,2,city,RN,0,0
2942,Tibau,2411056.0,2020-03-29,14,4106.0,False,True,1,24.3546,2020-03-28,0.0,0,2,city,RN,0,0
3316,Apodi,2401008.0,2020-03-30,14,35845.0,False,False,1,2.78979,2020-03-30,0.0,0,1,city,RN,1,0
3317,Açu,2400208.0,2020-03-30,14,58017.0,False,False,1,1.72363,2020-03-30,0.0,0,3,city,RN,0,0
3318,Caicó,2402006.0,2020-03-30,14,67952.0,False,False,2,2.94325,2020-03-30,0.0,0,3,city,RN,1,0
3319,Carnaubais,2402501.0,2020-03-30,14,10759.0,False,False,1,9.29454,2020-03-30,0.0,0,1,city,RN,1,0
3321,Luís Gomes,2407005.0,2020-03-30,14,10116.0,False,False,1,9.88533,2020-03-30,0.0,0,1,city,RN,1,0
3322,Macaíba,2407104.0,2020-03-30,14,80792.0,False,False,1,1.23775,2020-03-30,0.0,0,3,city,RN,0,0
3323,Monte Alegre,2407807.0,2020-03-30,14,22451.0,False,False,1,4.45414,2020-03-30,0.0,0,3,city,RN,0,0
3324,Mossoró,2408003.0,2020-03-30,14,297378.0,False,False,16,5.38036,2020-03-30,0.0625,1,10,city,RN,0,0
