date,city,last_available_confirmed,Gini_Index_2010,access_to_water_and_basic_sanitatio_per_cent,MHDI_income,MHDI_education,aging_rate,extremely_poor_per_cent
2020-05-28,Acari,3,0.49,2.06,0.633,0.634,9.88,5.18
2020-05-28,Açu,110,0.53,10.49,0.6409999999999999,0.568,6.99,7.68
2020-05-28,Afonso Bezerra,7,0.53,18.03,0.56,0.502,9.22,21.79
2020-05-28,Alexandria,5,0.53,10.68,0.581,0.491,11.07,21.46
2020-05-28,Almino Afonso,1,0.49,20.07,0.578,0.568,9.22,17.02
2020-05-28,Alto Do Rodrigues,31,0.47,3.79,0.647,0.585,6.32,7.74
2020-05-28,Angicos,3,0.51,10.91,0.606,0.53,9.66,11.04
2020-05-28,Antônio Martins,2,0.51,21.88,0.5539999999999999,0.45799999999999996,9.67,25.46
2020-05-28,Apodi,198,0.55,10.18,0.611,0.5710000000000001,8.1,13.98
2020-05-28,Areia Branca,146,0.48,7.72,0.647,0.621,7.94,6.17
2020-05-28,Arês,4,0.53,9.2,0.5870000000000001,0.523,7.13,16.86
2020-05-28,Baía Formosa,4,0.47,2.47,0.59,0.534,6.12,11.09
2020-05-28,Baraúna,65,0.42,20.92,0.562,0.446,5.52,12.08
2020-05-28,Barcelona,2,0.5,19.66,0.564,0.442,11.87,20.03
2020-05-28,Bento Fernandes,2,0.47,30.26,0.542,0.494,7.9,22.61
2020-05-28,Bom Jesus,4,0.54,16.68,0.583,0.46,9.3,20.26
2020-05-28,Brejinho,4,0.49,9.32,0.585,0.49200000000000005,8.46,11.95
2020-05-28,Caiçara Do Norte,5,0.53,9.86,0.5720000000000001,0.45399999999999996,7.23,22.32
2020-05-28,Caiçara Do Rio Do Vento,6,0.49,12.41,0.5529999999999999,0.499,8.95,23.06
2020-05-28,Caicó,29,0.56,1.75,0.703,0.619,8.82,3.69
2020-05-28,Campo Redondo,4,0.56,35.01,0.5539999999999999,0.584,11.02,28.19
2020-05-28,Canguaretama,52,0.49,17.39,0.557,0.486,6.21,18.11
2020-05-28,Caraúbas,19,0.54,23.35,0.594,0.556,9.89,20.91
2020-05-28,Carnaúba Dos Dantas,2,0.41,10.97,0.624,0.5770000000000001,8.71,4.55
