Dia de Dt;Point Order;Polygon Id;Score;dia_mes_ano;Dt;State_City;Lat;Lng
14/05/2020;1;8881999699fffff;43,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,731447937;-35,25814635
14/05/2020;2;8881999699fffff;43,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,728057668;-35,25417075
14/05/2020;3;8881999699fffff;43,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,722920611;-35,25510569
14/05/2020;4;8881999699fffff;43,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,721173724;-35,26001621
14/05/2020;5;8881999699fffff;43,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,724563953;-35,26399189
14/05/2020;6;8881999699fffff;43,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,729701109;-35,26305698
14/05/2020;1;8881999695fffff;45,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,72127719;-35,24621986
14/05/2020;2;8881999695fffff;45,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,717886981;-35,24224457
14/05/2020;3;8881999695fffff;45,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,712750012;-35,24317954
14/05/2020;4;8881999695fffff;45,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,711003154;-35,24808977
14/05/2020;5;8881999695fffff;45,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,714393324;-35,25206515
14/05/2020;6;8881999695fffff;45,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,719530391;-35,25113021
14/05/2020;1;8881999689fffff;41,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,743571222;-35,23756958
14/05/2020;2;8881999689fffff;41,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,740180885;-35,23359434
14/05/2020;3;8881999689fffff;41,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,735044146;-35,23452937
14/05/2020;4;8881999689fffff;41,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,733297646;-35,2394396
14/05/2020;5;8881999689fffff;41,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,736687944;-35,24341492
14/05/2020;6;8881999689fffff;41,60%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,741824781;-35,24247992
14/05/2020;1;8881999687fffff;55,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,72651711;-35,23148928
14/05/2020;2;8881999687fffff;55,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,723126872;-35,22751427
14/05/2020;3;8881999687fffff;55,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,717990112;-35,22844929
