City Name;Dt;Isolated_city
Vila Flor;17/05/2020;41,40%
Vila Flor;16/05/2020;36,40%
Vila Flor;15/05/2020;47,90%
Vila Flor;14/05/2020;44,00%
Vila Flor;13/05/2020;41,90%
Vila Flor;12/05/2020;42,90%
Vila Flor;11/05/2020;47,40%
Vila Flor;10/05/2020;35,70%
Vila Flor;09/05/2020;40,00%
Vila Flor;08/05/2020;35,00%
Vila Flor;07/05/2020;37,20%
Vila Flor;06/05/2020;40,20%
Vila Flor;05/05/2020;37,20%
Vila Flor;04/05/2020;42,40%
Vila Flor;03/05/2020;44,30%
Vila Flor;02/05/2020;33,30%
Vila Flor;01/05/2020;31,50%
Vila Flor;30/04/2020;32,90%
Vila Flor;29/04/2020;28,70%
Vila Flor;28/04/2020;36,20%
Vila Flor;27/04/2020;47,10%
Vila Flor;26/04/2020;29,60%
Vila Flor;25/04/2020;37,80%
Vila Flor;24/04/2020;32,00%
Vila Flor;23/04/2020;34,60%
Vila Flor;22/04/2020;40,40%
Vila Flor;21/04/2020;52,30%
Vila Flor;20/04/2020;35,50%
Vila Flor;19/04/2020;37,90%
Vila Flor;18/04/2020;29,70%
Vila Flor;17/04/2020;39,20%
Vila Flor;16/04/2020;39,00%
Vila Flor;15/04/2020;51,70%
Vila Flor;14/04/2020;42,10%
Vila Flor;13/04/2020;38,00%
Vila Flor;12/04/2020;39,80%
Vila Flor;11/04/2020;43,20%
Vila Flor;10/04/2020;41,50%
Vila Flor;09/04/2020;29,80%
Vila Flor;08/04/2020;36,60%
Vila Flor;07/04/2020;41,70%
Vila Flor;06/04/2020;45,90%
Vila Flor;05/04/2020;51,20%
Vila Flor;04/04/2020;36,30%
Vila Flor;03/04/2020;38,50%
Vila Flor;02/04/2020;49,40%
Vila Flor;01/04/2020;43,00%
Vila Flor;31/03/2020;46,20%
Vila Flor;30/03/2020;54,00%
Vila Flor;29/03/2020;51,40%
Vila Flor;28/03/2020;41,90%
Vila Flor;27/03/2020;50,00%
Vila Flor;26/03/2020;45,90%
Vila Flor;25/03/2020;51,20%
Vila Flor;24/03/2020;48,90%
Vila Flor;23/03/2020;47,10%
Vila Flor;22/03/2020;53,10%
Vila Flor;21/03/2020;43,70%
Vila Flor;20/03/2020;38,30%
Vila Flor;19/03/2020;43,60%
Vila Flor;18/03/2020;26,80%
Vila Flor;17/03/2020;36,00%
Vila Flor;16/03/2020;37,20%
Vila Flor;15/03/2020;48,60%
Vila Flor;14/03/2020;35,60%
Vila Flor;13/03/2020;33,00%
Vila Flor;12/03/2020;33,70%
Vila Flor;11/03/2020;28,20%
Vila Flor;10/03/2020;37,00%
Vila Flor;09/03/2020;32,10%
Vila Flor;08/03/2020;35,50%
Vila Flor;07/03/2020;34,20%
Vila Flor;06/03/2020;31,00%
Vila Flor;05/03/2020;28,90%
Vila Flor;04/03/2020;18,60%
Vila Flor;03/03/2020;27,40%
Vila Flor;02/03/2020;22,80%
Vila Flor;01/03/2020;33,70%
Vila Flor;29/02/2020;24,40%
Vila Flor;28/02/2020;21,40%
Vila Flor;27/02/2020;23,80%
Vila Flor;26/02/2020;22,80%
Vila Flor;25/02/2020;37,10%
Vila Flor;24/02/2020;33,70%
Vila Flor;23/02/2020;37,30%
Vila Flor;22/02/2020;23,10%
Vila Flor;21/02/2020;25,00%
Vila Flor;20/02/2020;19,20%
Vila Flor;19/02/2020;30,90%
Vila Flor;18/02/2020;35,00%
Vila Flor;17/02/2020;21,10%
Vila Flor;16/02/2020;30,00%
Vila Flor;15/02/2020;17,90%
Vila Flor;14/02/2020;15,70%
Vila Flor;13/02/2020;20,00%
Vila Flor;12/02/2020;26,30%
Vila Flor;11/02/2020;26,60%
Vila Flor;10/02/2020;34,20%
Vila Flor;09/02/2020;34,80%
Vila Flor;08/02/2020;23,80%
Vila Flor;07/02/2020;20,60%
Vila Flor;06/02/2020;26,10%
Vila Flor;05/02/2020;25,30%
Vila Flor;04/02/2020;23,80%
Vila Flor;03/02/2020;21,30%
Vila Flor;02/02/2020;35,40%
Vila Flor;01/02/2020;30,80%
