epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
22,2020-05-28,46,RN,Acari,2400109,city,3,26.93966,0,0,0,0.0,11136,False,True
22,2020-05-28,62,RN,Açu,2400208,city,110,189.5996,0,4,0,0.0364,58017,False,True
22,2020-05-28,24,RN,Afonso Bezerra,2400307,city,7,63.43453,0,1,0,0.1429,11035,False,True
22,2020-05-28,38,RN,Alexandria,2400505,city,5,36.82699,0,1,0,0.2,13577,False,True
22,2020-05-28,17,RN,Almino Afonso,2400604,city,1,21.11932,0,0,0,0.0,4735,False,True
22,2020-05-28,41,RN,Alto do Rodrigues,2400703,city,31,213.36637,0,4,0,0.129,14529,False,True
22,2020-05-28,15,RN,Angicos,2400802,city,3,25.61038,0,0,0,0.0,11714,False,True
22,2020-05-28,18,RN,Antônio Martins,2400901,city,2,27.9916,0,0,0,0.0,7145,False,True
22,2020-05-28,60,RN,Apodi,2401008,city,198,552.3783,0,4,0,0.0202,35845,False,True
22,2020-05-28,54,RN,Areia Branca,2401107,city,146,525.67149,0,15,0,0.1027,27774,False,True
22,2020-05-28,34,RN,Arês,2401206,city,4,27.9603,0,0,0,0.0,14306,False,True
22,2020-05-28,56,RN,Baía Formosa,2401404,city,4,43.14529,0,0,0,0.0,9271,False,True
22,2020-05-28,41,RN,Baraúna,2401453,city,65,229.08296,0,2,0,0.0308,28374,False,True
22,2020-05-28,43,RN,Barcelona,2401503,city,2,50.02501,0,0,0,0.0,3998,False,True
22,2020-05-28,41,RN,Bento Fernandes,2401602,city,2,36.38348,0,0,0,0.0,5497,False,True
22,2020-05-28,29,RN,Bom Jesus,2401701,city,4,39.17728,0,1,0,0.25,10210,False,True
22,2020-05-28,30,RN,Brejinho,2401800,city,4,31.49854,0,0,0,0.0,12699,False,True
22,2020-05-28,17,RN,Caiçara do Norte,2401859,city,5,76.34753,0,0,0,0.0,6549,False,True
22,2020-05-28,11,RN,Caiçara do Rio do Vento,2401909,city,6,162.86645,0,1,0,0.1667,3684,False,True
22,2020-05-28,62,RN,Caicó,2402006,city,29,42.67718,0,1,0,0.0345,67952,False,True
22,2020-05-28,37,RN,Campo Redondo,2402105,city,4,35.66016,0,0,0,0.0,11217,False,True
22,2020-05-28,47,RN,Canguaretama,2402204,city,52,151.70965,0,7,0,0.1346,34276,False,True
22,2020-05-28,56,RN,Caraúbas,2402303,city,19,92.71459,0,0,0,0.0,20493,False,True
22,2020-05-28,37,RN,Carnaúba dos Dantas,2402402,city,2,24.44988,0,1,0,0.5,8180,False,True
22,2020-05-28,60,RN,Carnaubais,2402501,city,9,83.6509,0,0,0,0.0,10759,False,True
22,2020-05-28,58,RN,Ceará Mirim,2402600,city,67,91.16018,0,5,0,0.0746,73497,False,True
22,2020-05-28,47,RN,Cerro Corá,2402709,city,1,8.94534,0,1,0,1.0,11179,False,True
22,2020-05-28,45,RN,Coronel João Pessoa,2402907,city,2,40.71661,0,1,0,0.5,4912,False,True
22,2020-05-28,9,RN,Cruzeta,2403004,city,6,75.01875,0,0,0,0.0,7998,False,True
22,2020-05-28,46,RN,Currais Novos,2403103,city,22,49.12249,0,1,0,0.0455,44786,False,True
22,2020-05-28,9,RN,Doutor Severiano,2403202,city,6,84.79367,0,0,0,0.0,7076,False,True
22,2020-05-28,48,RN,Encanto,2403301,city,13,230.57822,0,2,0,0.1538,5638,False,True
22,2020-05-28,11,RN,Espírito Santo,2403509,city,2,19.03855,0,0,0,0.0,10505,False,True
22,2020-05-28,56,RN,Extremoz,2403608,city,88,307.87531,0,1,0,0.0114,28583,False,True
22,2020-05-28,25,RN,Felipe Guerra,2403707,city,33,551.37845,0,0,0,0.0,5985,False,True
22,2020-05-28,37,RN,Fernando Pedroza,2403756,city,2,65.48788,0,0,0,0.0,3054,False,True
22,2020-05-28,11,RN,Florânia,2403806,city,1,10.96972,0,0,0,0.0,9116,False,True
22,2020-05-28,11,RN,Frutuoso Gomes,2404002,city,4,98.32842,0,0,0,0.0,4068,False,True
22,2020-05-28,12,RN,Galinhos,2404101,city,1,35.89375,0,0,0,0.0,2786,False,True
22,2020-05-28,24,RN,Goianinha,2404200,city,22,83.56123,0,0,0,0.0,26328,False,True
22,2020-05-28,17,RN,Governador Dix Sept Rosado,2404309,city,7,53.69333,0,0,0,0.0,13037,False,True
22,2020-05-28,25,RN,Grossos,2404408,city,10,96.31128,0,1,0,0.1,10383,False,True
22,2020-05-28,34,RN,Guamaré,2404507,city,38,242.67195,0,1,0,0.0263,15659,False,True
22,2020-05-28,40,RN,Ielmo Marinho,2404606,city,11,79.90702,0,1,0,0.0909,13766,False,True
22,2020-05-28,62,RN,Importados/Indefinidos,,city,16,,0,3,0,0.1875,,False,True
22,2020-05-28,43,RN,Ipanguaçu,2404705,city,24,154.92867,0,4,0,0.1667,15491,False,True
22,2020-05-28,10,RN,Ipueira,2404804,city,2,89.24587,0,0,0,0.0,2241,False,True
22,2020-05-28,32,RN,Itajá,2404853,city,10,132.48543,0,1,0,0.1,7548,False,True
22,2020-05-28,18,RN,Itaú,2404903,city,12,204.15107,0,0,0,0.0,5878,False,True
22,2020-05-28,42,RN,Jaçanã,2405009,city,6,65.69583,0,0,0,0.0,9133,False,True
22,2020-05-28,5,RN,Jandaíra,2405108,city,1,14.53911,0,0,0,0.0,6878,False,True
22,2020-05-28,11,RN,Janduís,2405207,city,1,18.98254,0,0,0,0.0,5268,False,True
22,2020-05-28,47,RN,Januário Cicco,2405306,city,2,19.64444,0,0,0,0.0,10181,False,True
22,2020-05-28,11,RN,Jardim de Angicos,2405504,city,1,38.28484,0,0,0,0.0,2612,False,True
22,2020-05-28,17,RN,Jardim do Seridó,2405702,city,4,32.26847,0,0,0,0.0,12396,False,True
22,2020-05-28,36,RN,João Câmara,2405801,city,10,28.60821,0,1,0,0.1,34955,False,True
22,2020-05-28,18,RN,Jucurutu,2406106,city,6,32.79585,0,0,0,0.0,18295,False,True
22,2020-05-28,11,RN,Lagoa d Anta,2406205,city,1,14.77323,0,0,0,0.0,6769,False,True
22,2020-05-28,47,RN,Lagoa de Pedras,2406304,city,3,39.7667,0,1,0,0.3333,7544,False,True
22,2020-05-28,7,RN,Lagoa de Velhos,2406403,city,1,36.60322,0,0,0,0.0,2732,False,True
22,2020-05-28,17,RN,Lagoa Nova,2406502,city,2,12.80902,0,0,0,0.0,15614,False,True
22,2020-05-28,31,RN,Lagoa Salgada,2406601,city,2,24.25713,0,0,0,0.0,8245,False,True
22,2020-05-28,24,RN,Lajes,2406700,city,2,17.73521,0,0,0,0.0,11277,False,True
22,2020-05-28,40,RN,Lajes Pintadas,2406809,city,6,126.07691,0,0,0,0.0,4759,False,True
22,2020-05-28,4,RN,Lucrécia,2406908,city,1,25.02503,0,0,0,0.0,3996,False,True
22,2020-05-28,60,RN,Luís Gomes,2407005,city,1,9.88533,0,0,0,0.0,10116,False,True
22,2020-05-28,62,RN,Macaíba,2407104,city,94,116.34815,0,5,0,0.0532,80792,False,True
22,2020-05-28,21,RN,Macau,2407203,city,26,81.72503,0,0,0,0.0,31814,False,True
22,2020-05-28,16,RN,Martins,2407401,city,2,22.92264,0,0,0,0.0,8725,False,True
22,2020-05-28,27,RN,Maxaranguape,2407500,city,5,40.4171,0,1,0,0.2,12371,False,True
22,2020-05-28,4,RN,Messias Targino,2407609,city,1,21.73441,0,0,0,0.0,4601,False,True
22,2020-05-28,35,RN,Montanhas,2407708,city,8,71.10479,0,1,0,0.125,11251,False,True
22,2020-05-28,62,RN,Monte Alegre,2407807,city,17,75.72046,0,0,0,0.0,22451,False,True
22,2020-05-28,69,RN,Mossoró,2408003,city,907,304.99902,0,45,0,0.0496,297378,False,True
